algorithm,seed,best_eval_average_rate_e2e,final_eval_average_rate_e2e,best_eval_reward,final_eval_reward,best_episode,final_episode,model_dir
TD3,0,3802141.148780482,3648696.3747433997,284.3140128798136,266.5292503136535,250,300,results\phase4\algorithms\td3\seed_0
TD3,1,4917049.812321804,4768494.109437128,401.42660184263093,384.4105685821037,150,300,results\phase4\algorithms\td3\seed_1
TD3,2,4912554.771179421,4619530.49406999,399.9514392494137,366.99417070110144,80,300,results\phase4\algorithms\td3\seed_2
DDPG,0,3329788.2211243175,3329788.2211243175,221.29784068648405,221.29784068648405,300,300,results\phase4\algorithms\ddpg\seed_0
DDPG,1,4916945.930898663,4497526.588479835,401.41327243694116,356.2269674243848,110,300,results\phase4\algorithms\ddpg\seed_1
DDPG,2,4899484.80019939,4797910.144637993,401.53888167981404,390.17961773814955,30,300,results\phase4\algorithms\ddpg\seed_2
SAC,0,4898466.033861757,4230542.9311281545,397.50386090665415,338.795284478921,60,300,results\phase4\algorithms\sac\seed_0
SAC,1,4120312.996172258,3838892.6909114737,331.5016712165638,326.3415502209544,150,300,results\phase4\algorithms\sac\seed_1
SAC,2,4689300.330675912,4257258.386968293,392.96695869812555,358.73113864705476,260,300,results\phase4\algorithms\sac\seed_2
