algorithm,average_rate_e2e_mean,average_rate_e2e_std,average_reward_mean,average_reward_std,outage_count_mean,constraint_violation_count_mean,trajectory_length_mean,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
BalancedLinkPolicy,4814523.1677312,469924.83704822185,476.57380341924284,48.03353857151937,0.0,3.4,100.0,4814523.16773,4.81452316773,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,4465209.035365841,746118.0914772456,356.6907026515488,69.4335287371152,0.0,82.33333333333333,100.0,4465209.03537,4.46520903537,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
GreedyRatePolicy,4640938.013381312,1113251.5579044875,452.2466976441128,115.54845707407623,0.0,6.8,100.0,4640938.01338,4.64093801338,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
HorizontalMidpointPolicy,3277603.839842035,706622.4513905947,307.3350315993113,78.84799624323156,0.0,2.0,100.0,3277603.83984,3.27760383984,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
MidpointPolicy,4642902.067375073,493709.47386263416,365.378298344947,51.08467250423758,0.0,94.0,100.0,4642902.06738,4.64290206738,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
RandomPolicy,3366255.738155246,860923.6800735083,318.8972247477779,92.76285826197024,0.0,0.0,100.0,3366255.73816,3.36625573816,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,4876508.428122938,183181.36841823737,404.30122679957327,19.997551417539768,0.0,79.4,100.0,4876508.42812,4.87650842812,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
StaticRelayPolicy,3213153.093793682,808139.6149258115,302.64068807121254,86.96264722119905,0.0,0.0,100.0,3213153.09379,3.21315309379,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,4639009.5518810665,492723.2092310403,370.83441705764926,52.85936250748773,0.0,86.13333333333334,100.0,4639009.55188,4.63900955188,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
