group,name,constraint_violation_count_mean,trajectory_length_mean,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
algorithm,BalancedLinkPolicy,3.4,100.0,4814523.16773,4.81452316773,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,DDPG,82.33333333333333,100.0,4465209.03537,4.46520903537,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,GreedyRatePolicy,6.8,100.0,4640938.01338,4.64093801338,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,HorizontalMidpointPolicy,2.0,100.0,3277603.83984,3.27760383984,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,MidpointPolicy,94.0,100.0,4642902.06738,4.64290206738,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,RandomPolicy,0.0,100.0,3366255.73816,3.36625573816,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,SAC,79.4,100.0,4876508.42812,4.87650842812,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,StaticRelayPolicy,0.0,100.0,3213153.09379,3.21315309379,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
algorithm,TD3,86.13333333333334,100.0,4639009.55188,4.63900955188,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
ablation,A0_full_td3,86.13333333333334,100.0,4639009.55188,4.63900955188,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
ablation,A1_isotropic_antenna,74.33333333333333,100.0,5746697.65075,5.74669765075,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
ablation,A2_no_balance_penalty,83.6,100.0,4481168.63543,4.48116863543,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
ablation,A3_no_energy_penalty,86.26666666666667,100.0,4629019.09948,4.62901909948,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
ablation,A4_fixed_relay_height,73.53333333333333,100.0,4028995.93317,4.02899593317,results/phase4/algorithm_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
